Name,Symbol,Price($),Market Cap($),24h Volume($),Potential(%),Popularity(%),1 Month Buy/Sell Ratio,2 Year Change(%)
Tether,USDT,0.998472,137823380045,159753191351,115.91,5423.5,46.77 buy / 53.23 sell,-0.05
XRP,XRP,2.4,136729770702,14429320582,10.55,489.86,61.29 buy / 38.71 sell,528.2
Dogecoin,DOGE,0.431824,63498467672,9305075477,14.65,315.9,67.74 buy / 32.26 sell,350.93
USDC,USDC,0.999102,40729226960,7512939188,18.45,255.06,46.77 buy / 53.23 sell,-0.01
Cardano,ADA,1.11,39660941731,1970778035,4.97,66.91,66.13 buy / 33.87 sell,256.05
TRON,TRX,0.292854,25268402406,2096464696,8.3,71.17,58.06 buy / 41.94 sell,437.49
Shiba Inu,SHIB,2.959e-05,17436627788,1966525445,11.28,66.76,54.84 buy / 45.16 sell,223.86
Toncoin,TON,6.4,16320327576,512661881,3.14,17.4,54.84 buy / 45.16 sell,247.81
Polkadot,DOT,9.49,14447897040,1055644256,7.31,35.84,54.84 buy / 45.16 sell,80.83
Stellar,XLM,0.453594,13672418838,827802825,6.05,28.1,62.9 buy / 37.1 sell,437.8
Sui,SUI,4.04,11810416981,2087823246,17.68,70.88,53.23 buy / 46.77 sell,131.58
Hedera,HBAR,0.303529,11598953770,1411564209,12.17,47.92,69.35 buy / 30.65 sell,531.55
Pepe,PEPE,2.734e-05,11489763837,10405294211,90.56,353.25,51.61 buy / 48.39 sell,197.27
NEAR Protocol,NEAR,7.06,8594933424,800717568,9.32,27.18,64.52 buy / 35.48 sell,315.89
Ethena USDe,USDE,0.999707,5513210231,182978367,3.32,6.21,51.61 buy / 48.39 sell,297.33
POL (ex-MATIC),POL,0.634856,5303314476,464056253,8.75,15.75,58.06 buy / 41.94 sell,93.22
USDS,USDS,1.001,5216686996,50820595,0.97,1.73,50 buy / 50 sell,0
Cronos,CRO,0.189137,5131014129,67616415,1.32,2.3,48.39 buy / 51.61 sell,193.77
VeChain,VET,0.062015,5015284138,240498539,4.8,8.16,64.52 buy / 35.48 sell,225.05
Render,RENDER,9.45,4890136509,391323064,8.0,13.29,66.13 buy / 33.87 sell,94.5
Artificial Superintelligence Alliance,FET,1.84,4792623069,695120757,14.5,23.6,51.61 buy / 48.39 sell,1877.69
Kaspa,KAS,0.17291,4378513973,307052227,7.01,10.42,59.68 buy / 40.32 sell,43.03
Arbitrum,ARB,1.063,4355408680,955621435,21.94,32.44,58.06 buy / 41.94 sell,105.28
Filecoin,FIL,7.02,4273525371,936686669,21.92,31.8,61.29 buy / 38.71 sell,61.17
Mantle,MNT,1.21,4062029737,214917496,5.29,7.3,50 buy / 50 sell,0
Algorand,ALGO,0.458948,3813032624,528945062,13.87,17.96,61.29 buy / 38.71 sell,102.56
Cosmos Hub,ATOM,9.36,3654173583,401002214,10.97,13.61,58.06 buy / 41.94 sell,-5.19
Stacks,STX,2.43,3653185550,330617081,9.05,11.22,64.52 buy / 35.48 sell,801.88
MANTRA,OM,3.84,3619553319,234311653,6.47,7.95,58.06 buy / 41.94 sell,11222.09
Bitget Token,BGB,2.57,3596250102,209399470,5.82,7.11,61.29 buy / 38.71 sell,117.45
dogwifhat,WIF,3.41,3408894164,1129593671,33.14,38.35,54.84 buy / 45.16 sell,38.2
Fantom,FTM,1.21,3403355260,591011489,17.37,20.06,58.06 buy / 41.94 sell,410.44
Dai,DAI,0.999322,3370980378,177679967,5.27,6.03,51.61 buy / 48.39 sell,0.04
Celestia,TIA,7.44,3319171795,389811964,11.74,13.23,51.61 buy / 48.39 sell,46.08
Bonk,BONK,4.352e-05,3286211473,916599357,27.89,31.12,58.06 buy / 41.94 sell,104.69
Immutable,IMX,1.9,3212420877,158919808,4.95,5.4,61.29 buy / 38.71 sell,332.6
Optimism,OP,2.45,3069329732,590988770,19.25,20.06,48.39 buy / 51.61 sell,134.83
Ethena,ENA,0.964038,2834591397,838450712,29.58,28.46,61.29 buy / 38.71 sell,173.03
Theta Network,THETA,2.77,2771642975,140563320,5.07,4.77,61.29 buy / 38.71 sell,227.58
The Graph,GRT,0.288542,2754019749,244903220,8.89,8.31,64.52 buy / 35.48 sell,300.14
FLOKI,FLOKI,0.0002749,2659289885,1344015631,50.54,45.63,54.84 buy / 45.16 sell,103.99
Worldcoin,WLD,3.37,2526613943,918409169,36.35,31.18,58.06 buy / 41.94 sell,66.24
Sei,SEI,0.618125,2460695163,257655817,10.47,8.75,48.39 buy / 51.61 sell,65.95
THORChain,RUNE,6.97,2375415438,750533032,31.6,25.48,58.06 buy / 41.94 sell,393.57
Ondo,ONDO,1.6,2295148634,291774786,12.71,9.91,67.74 buy / 32.26 sell,129.59
GALA,GALA,0.054308,2271334579,590808436,26.01,20.06,61.29 buy / 38.71 sell,114.32
JasmyCoin,JASMY,0.0444273,2148547276,549623879,25.58,18.66,62.9 buy / 37.1 sell,1056.27
The Sandbox,SAND,0.824019,2002018857,697115163,34.82,23.67,61.29 buy / 38.71 sell,41.81
Brett,BRETT,0.19211,1903961279,137332668,7.21,4.66,61.29 buy / 38.71 sell,108.88
EOS,EOS,1.21,1828819004,451885843,24.71,15.34,58.06 buy / 41.94 sell,17.81
First Digital USD,FDUSD,0.997912,1781257701,4666762138,261.99,158.43,41.94 buy / 58.06 sell,-0.17
Movement,MOVE,0.793148,1780512084,1121528787,62.99,38.08,50 buy / 50 sell,0
Lido DAO,LDO,1.97,1763167221,279322561,15.84,9.48,54.84 buy / 45.16 sell,92.68
Beam,BEAM,0.03321275,1745828229,183129386,10.49,6.22,61.29 buy / 38.71 sell,-71.37
Pyth Network,PYTH,0.461043,1671176476,192435092,11.51,6.53,64.52 buy / 35.48 sell,28.12
Kaia,KAIA,0.282346,1647285385,91856583,5.58,3.12,66.13 buy / 33.87 sell,0
Jupiter,JUP,1.21,1631814076,325885570,19.97,11.06,48.39 buy / 51.61 sell,27979.5
Flow,FLOW,1.045,1619580185,131138829,8.1,4.45,61.29 buy / 38.71 sell,2.85
dYdX,DYDX,2.27,1608952862,235793047,14.66,8.0,64.52 buy / 35.48 sell,42.0
Tezos,XTZ,1.57,1595871149,141626504,8.87,4.81,58.06 buy / 41.94 sell,58.45
IOTA,IOTA,0.443487,1568605504,259163646,16.52,8.8,50 buy / 50 sell,0
Starknet,STRK,0.692114,1562908679,232962230,14.91,7.91,51.61 buy / 48.39 sell,83.99
Aerodrome Finance,AERO,2.11,1494254467,91203150,6.1,3.1,51.61 buy / 48.39 sell,73.12
Virtuals Protocol,VIRTUAL,1.48,1484884672,162632553,10.95,5.52,64.52 buy / 35.48 sell,198.36
Mog Coin,MOG,3.6e-06,1405815363,93263710,6.63,3.17,45.16 buy / 54.84 sell,111.7
BitTorrent,BTT,1.43e-06,1384740553,87577947,6.32,2.97,54.84 buy / 45.16 sell,107.25
Curve DAO,CRV,1.097,1370814935,832866949,60.76,28.28,67.74 buy / 32.26 sell,73.45
Fasttoken,FTN,3.21,1369200763,96182584,7.02,3.27,59.68 buy / 40.32 sell,25912.97
Raydium,RAY,4.6,1336546745,160966242,12.04,5.46,45.16 buy / 54.84 sell,2314.26
XDC Network,XDC,0.087806,1311106508,59149985,4.51,2.01,58.06 buy / 41.94 sell,303.11
Axie Infinity,AXS,8.41,1308648689,197530900,15.09,6.71,64.52 buy / 35.48 sell,2.08
Core,CORE,1.39,1285971742,92484549,7.19,3.14,54.84 buy / 45.16 sell,63.54
Popcat,POPCAT,1.31,1280450656,167681563,13.1,5.69,45.16 buy / 54.84 sell,-15.54
Decentraland,MANA,0.677999,1266474870,234693984,18.53,7.97,61.29 buy / 38.71 sell,69.77
Peanut the Squirrel,PNUT,1.25,1248540373,1181170468,94.6,40.1,54.84 buy / 45.16 sell,0
ApeCoin,APE,1.67,1205981674,375162173,31.11,12.74,70.97 buy / 29.03 sell,-58.97
PancakeSwap,CAKE,3.8,1093947314,256346861,23.43,8.7,64.52 buy / 35.48 sell,-4.02
Chiliz,CHZ,0.118575,1091856403,249105476,22.81,8.46,64.52 buy / 35.48 sell,-20.07
Conflux,CFX,0.221704,1047107053,126901425,12.12,4.31,61.29 buy / 38.71 sell,702.23
dYdX,ETHDYDX,2.27,1026378205,234116314,22.81,7.95,50 buy / 50 sell,0
Synthetix Network,SNX,3.03,1022955823,139740227,13.66,4.74,58.06 buy / 41.94 sell,58.09
Pendle,PENDLE,6.11,1011627842,158944386,15.71,5.4,48.39 buy / 51.61 sell,35.59
Mina Protocol,MINA,0.844177,1005616747,108831334,10.82,3.69,64.52 buy / 35.48 sell,51.63
